Source,Target,Weight,Coefficient
minobj,c179,45,17.0
minobj,c188,45,14.0
minobj,c197,45,11.0
minobj,c206,45,8.0
minobj,c224,45,8.0
minobj,c62,45,5.0
minobj,c71,45,6.0
minobj,c80,45,7.0
minobj,c89,45,8.0
minobj,c54,45,5.0
minobj,c144,45,37.0
minobj,c216,45,41.0
minobj,c153,45,33.0
minobj,c162,45,29.0
minobj,c171,45,25.0
minobj,c180,45,21.0
minobj,c189,45,17.0
minobj,c198,45,13.0
minobj,c207,45,9.0
minobj,c225,45,9.0
minobj,c63,45,6.0
minobj,c72,45,7.0
minobj,c81,45,8.0
minobj,c90,45,9.0
minobj,c55,45,6.0
minobj,c145,45,45.0
minobj,c217,45,50.0
minobj,c154,45,40.0
minobj,c163,45,35.0
minobj,c172,45,30.0
minobj,c181,45,25.0
minobj,c190,45,20.0
minobj,c199,45,15.0
minobj,c208,45,10.0
minobj,c226,45,10.0
minobj,c64,45,7.0
minobj,c73,45,8.0
minobj,c82,45,9.0
minobj,c91,45,10.0
minobj,c56,45,7.0
minobj,c146,45,53.0
minobj,c218,45,59.0
minobj,c155,45,47.0
minobj,c164,45,41.0
minobj,c173,45,35.0
minobj,c182,45,29.0
minobj,c191,45,23.0
minobj,c200,45,17.0
minobj,c209,45,11.0
minobj,c227,45,11.0
minobj,c65,45,8.0
minobj,c74,45,9.0
minobj,c83,45,10.0
minobj,c92,45,11.0
minobj,c57,45,8.0
minobj,c147,45,61.0
minobj,c219,45,68.0
minobj,c156,45,54.0
minobj,c165,45,47.0
minobj,c174,45,40.0
minobj,c183,45,33.0
minobj,c192,45,26.0
minobj,c201,45,19.0
minobj,c210,45,12.0
minobj,c228,45,12.0
minobj,c66,45,9.0
minobj,c75,45,10.0
minobj,c84,45,11.0
minobj,c93,45,12.0
minobj,c58,45,9.0
minobj,c148,45,69.0
minobj,c220,45,77.0
minobj,c157,45,61.0
minobj,c166,45,53.0
minobj,c175,45,45.0
minobj,c184,45,37.0
minobj,c193,45,29.0
minobj,c202,45,21.0
minobj,c211,45,13.0
minobj,c229,45,13.0
minobj,c67,45,10.0
minobj,c76,45,11.0
minobj,c85,45,12.0
minobj,c94,45,13.0
minobj,c59,45,10.0
minobj,c149,45,77.0
minobj,c221,45,86.0
minobj,c158,45,68.0
minobj,c167,45,59.0
minobj,c176,45,50.0
minobj,c185,45,41.0
minobj,c194,45,32.0
minobj,c203,45,23.0
minobj,c212,45,14.0
minobj,c230,45,14.0
minobj,c68,45,11.0
minobj,c77,45,12.0
minobj,c86,45,13.0
minobj,c95,45,14.0
c1,minobj,81,1.0
c1,c41,9,1.0
c1,c51,9,1.0
c1,c96,9,1.0
c1,c141,9,1.0
c1,c213,1,1.0
c1,c6,9,1.0
c1,c105,9,1.0
c1,c150,1,1.0
c1,c11,9,1.0
c1,c106,9,1.0
c1,c159,1,1.0
c1,c16,9,1.0
c1,c107,9,1.0
c1,c168,1,1.0
c1,c21,9,1.0
c1,c108,9,1.0
c1,c177,1,1.0
c1,c26,9,1.0
c1,c109,9,1.0
c1,c186,1,1.0
c1,c31,9,1.0
c1,c110,9,1.0
c1,c195,1,1.0
c1,c36,9,1.0
c1,c111,9,1.0
c1,c204,1,1.0
c1,c46,9,1.0
c1,c112,9,1.0
c1,c222,1,1.0
c1,c52,9,1.0
c1,c142,9,1.0
c1,c214,1,1.0
c1,c151,1,1.0
c1,c160,1,1.0
c1,c169,1,1.0
c1,c178,1,1.0
c1,c187,1,1.0
c1,c196,1,1.0
c1,c205,1,1.0
c1,c223,1,1.0
c1,c53,9,1.0
c1,c143,9,1.0
c1,c215,1,1.0
c1,c152,1,1.0
c1,c161,1,1.0
c1,c170,1,1.0
c1,c179,1,1.0
c1,c188,1,1.0
c1,c197,1,1.0
c1,c206,1,1.0
c1,c224,1,1.0
c1,c54,9,1.0
c1,c144,9,1.0
c1,c216,1,1.0
c1,c153,1,1.0
c1,c162,1,1.0
c1,c171,1,1.0
c1,c180,1,1.0
c1,c189,1,1.0
c1,c198,1,1.0
c1,c207,1,1.0
c1,c225,1,1.0
c1,c55,9,1.0
c1,c145,9,1.0
c1,c217,1,1.0
c1,c154,1,1.0
c1,c163,1,1.0
c1,c172,1,1.0
c1,c181,1,1.0
c1,c190,1,1.0
c1,c199,1,1.0
c1,c208,1,1.0
c1,c226,1,1.0
c1,c56,9,1.0
c1,c146,9,1.0
c1,c218,1,1.0
c1,c155,1,1.0
c1,c164,1,1.0
c1,c173,1,1.0
c1,c182,1,1.0
c1,c191,1,1.0
c1,c200,1,1.0
c1,c209,1,1.0
c1,c227,1,1.0
c1,c57,9,1.0
c1,c147,9,1.0
c1,c219,1,1.0
c1,c156,1,1.0
c1,c165,1,1.0
c1,c174,1,1.0
c1,c183,1,1.0
c1,c192,1,1.0
c1,c201,1,1.0
c1,c210,1,1.0
c1,c228,1,1.0
c1,c58,9,1.0
c1,c148,9,1.0
c1,c220,1,1.0
c1,c157,1,1.0
c1,c166,1,1.0
c1,c175,1,1.0
c1,c184,1,1.0
c1,c193,1,1.0
c1,c202,1,1.0
c1,c211,1,1.0
c1,c229,1,1.0
c1,c59,9,1.0
c1,c149,9,1.0
c1,c221,1,1.0
c1,c158,1,1.0
c1,c167,1,1.0
c1,c176,1,1.0
c1,c185,1,1.0
c1,c194,1,1.0
c1,c203,1,1.0
c1,c212,1,1.0
c1,c230,1,1.0
c41,minobj,81,1.0
c41,c1,9,1.0
c41,c51,9,1.0
c41,c96,9,1.0
c41,c141,1,1.0
c41,c213,9,1.0
c41,c6,9,1.0
c41,c97,9,1.0
c41,c150,1,1.0
c41,c11,9,1.0
c41,c98,9,1.0
c41,c159,1,1.0
c41,c16,9,1.0
c41,c99,9,1.0
c41,c168,1,1.0
c41,c21,9,1.0
c41,c100,9,1.0
c41,c177,1,1.0
c41,c26,9,1.0
c41,c101,9,1.0
c41,c186,1,1.0
c41,c31,9,1.0
c41,c102,9,1.0
c41,c195,1,1.0
c41,c36,9,1.0
c41,c103,9,1.0
c41,c204,1,1.0
c41,c46,9,1.0
c41,c104,9,1.0
c41,c222,1,1.0
c41,c52,9,1.0
c41,c142,1,1.0
c41,c214,9,1.0
c41,c151,1,1.0
c41,c160,1,1.0
c41,c169,1,1.0
c41,c178,1,1.0
c41,c187,1,1.0
c41,c196,1,1.0
c41,c205,1,1.0
c41,c223,1,1.0
c41,c53,9,1.0
c41,c143,1,1.0
c41,c215,9,1.0
c41,c152,1,1.0
c41,c161,1,1.0
c41,c170,1,1.0
c41,c179,1,1.0
c41,c188,1,1.0
c41,c197,1,1.0
c41,c206,1,1.0
c41,c224,1,1.0
c41,c54,9,1.0
c41,c144,1,1.0
c41,c216,9,1.0
c41,c153,1,1.0
c41,c162,1,1.0
c41,c171,1,1.0
c41,c180,1,1.0
c41,c189,1,1.0
c41,c198,1,1.0
c41,c207,1,1.0
c41,c225,1,1.0
c41,c55,9,1.0
c41,c145,1,1.0
c41,c217,9,1.0
c41,c154,1,1.0
c41,c163,1,1.0
c41,c172,1,1.0
c41,c181,1,1.0
c41,c190,1,1.0
c41,c199,1,1.0
c41,c208,1,1.0
c41,c226,1,1.0
c41,c56,9,1.0
c41,c146,1,1.0
c41,c218,9,1.0
c41,c155,1,1.0
c41,c164,1,1.0
c41,c173,1,1.0
c41,c182,1,1.0
c41,c191,1,1.0
c41,c200,1,1.0
c41,c209,1,1.0
c41,c227,1,1.0
c41,c57,9,1.0
c41,c147,1,1.0
c41,c219,9,1.0
c41,c156,1,1.0
c41,c165,1,1.0
c41,c174,1,1.0
c41,c183,1,1.0
c41,c192,1,1.0
c41,c201,1,1.0
c41,c210,1,1.0
c41,c228,1,1.0
c41,c58,9,1.0
c41,c148,1,1.0
c41,c220,9,1.0
c41,c157,1,1.0
c41,c166,1,1.0
c41,c175,1,1.0
c41,c184,1,1.0
c41,c193,1,1.0
c41,c202,1,1.0
c41,c211,1,1.0
c41,c229,1,1.0
c41,c59,9,1.0
c41,c149,1,1.0
c41,c221,9,1.0
c41,c158,1,1.0
c41,c167,1,1.0
c41,c176,1,1.0
c41,c185,1,1.0
c41,c194,1,1.0
c41,c203,1,1.0
c41,c212,1,1.0
c41,c230,1,1.0
c51,minobj,45,1.0
c51,c1,9,1.0
c51,c41,9,1.0
c51,c96,1,1.0
c51,c141,9,1.0
c51,c213,9,1.0
c51,c6,9,1.0
c51,c97,1,1.0
c51,c150,9,1.0
c51,c105,1,1.0
c51,c11,9,1.0
c51,c98,1,1.0
c51,c159,9,1.0
c51,c106,1,1.0
c51,c113,1,1.0
c51,c16,9,1.0
c51,c99,1,1.0
c51,c168,9,1.0
c51,c107,1,1.0
c51,c114,1,1.0
c51,c120,1,1.0
c51,c21,9,1.0
c51,c100,1,1.0
c51,c177,9,1.0
c51,c108,1,1.0
c51,c115,1,1.0
c51,c121,1,1.0
c51,c126,1,1.0
c51,c26,9,1.0
c51,c101,1,1.0
c51,c186,9,1.0
c51,c109,1,1.0
c51,c116,1,1.0
c51,c122,1,1.0
c51,c127,1,1.0
c51,c131,1,1.0
c51,c31,9,1.0
c51,c102,1,1.0
c51,c195,9,1.0
c51,c110,1,1.0
c51,c117,1,1.0
c51,c123,1,1.0
c51,c128,1,1.0
c51,c132,1,1.0
c51,c135,1,1.0
c51,c36,9,1.0
c51,c103,1,1.0
c51,c204,9,1.0
c51,c111,1,1.0
c51,c118,1,1.0
c51,c124,1,1.0
c51,c129,1,1.0
c51,c133,1,1.0
c51,c136,1,1.0
c51,c138,1,1.0
c51,c46,9,1.0
c51,c104,1,1.0
c51,c222,9,1.0
c51,c112,1,1.0
c51,c119,1,1.0
c51,c125,1,1.0
c51,c130,1,1.0
c51,c134,1,1.0
c51,c137,1,1.0
c51,c139,1,1.0
c51,c140,1,1.0
c96,minobj,45,1.0
c96,c1,9,1.0
c96,c41,9,1.0
c96,c51,1,1.0
c96,c141,5,1.0
c96,c213,5,1.0
c96,c2,9,1.0
c96,c42,9,1.0
c96,c60,1,1.0
c96,c3,9,1.0
c96,c43,9,1.0
c96,c69,1,1.0
c96,c4,9,1.0
c96,c44,9,1.0
c96,c78,1,1.0
c96,c5,9,1.0
c96,c45,9,1.0
c96,c87,1,1.0
c96,c52,1,1.0
c96,c142,5,1.0
c96,c214,5,1.0
c96,c61,1,1.0
c96,c70,1,1.0
c96,c79,1,1.0
c96,c88,1,1.0
c96,c53,1,1.0
c96,c143,5,1.0
c96,c215,5,1.0
c96,c62,1,1.0
c96,c71,1,1.0
c96,c80,1,1.0
c96,c89,1,1.0
c96,c54,1,1.0
c96,c144,5,1.0
c96,c216,5,1.0
c96,c63,1,1.0
c96,c72,1,1.0
c96,c81,1,1.0
c96,c90,1,1.0
c96,c55,1,1.0
c96,c145,5,1.0
c96,c217,5,1.0
c96,c64,1,1.0
c96,c73,1,1.0
c96,c82,1,1.0
c96,c91,1,1.0
c96,c56,1,1.0
c96,c146,5,1.0
c96,c218,5,1.0
c96,c65,1,1.0
c96,c74,1,1.0
c96,c83,1,1.0
c96,c92,1,1.0
c96,c57,1,1.0
c96,c147,5,1.0
c96,c219,5,1.0
c96,c66,1,1.0
c96,c75,1,1.0
c96,c84,1,1.0
c96,c93,1,1.0
c96,c58,1,1.0
c96,c148,5,1.0
c96,c220,5,1.0
c96,c67,1,1.0
c96,c76,1,1.0
c96,c85,1,1.0
c96,c94,1,1.0
c96,c59,1,1.0
c96,c149,5,1.0
c96,c221,5,1.0
c96,c68,1,1.0
c96,c77,1,1.0
c96,c86,1,1.0
c96,c95,1,1.0
c141,minobj,45,1.0
c141,c1,9,1.0
c141,c41,1,1.0
c141,c51,9,1.0
c141,c96,5,1.0
c141,c213,5,1.0
c141,c6,1,1.0
c141,c105,5,1.0
c141,c150,5,1.0
c141,c11,1,1.0
c141,c106,5,1.0
c141,c159,5,1.0
c141,c16,1,1.0
c141,c107,5,1.0
c141,c168,5,1.0
c141,c21,1,1.0
c141,c108,5,1.0
c141,c177,5,1.0
c141,c26,1,1.0
c141,c109,5,1.0
c141,c186,5,1.0
c141,c31,1,1.0
c141,c110,5,1.0
c141,c195,5,1.0
c141,c36,1,1.0
c141,c111,5,1.0
c141,c204,5,1.0
c141,c46,1,1.0
c141,c112,5,1.0
c141,c222,5,1.0
c141,c2,9,1.0
c141,c42,1,1.0
c141,c60,9,1.0
c141,c7,1,1.0
c141,c12,1,1.0
c141,c17,1,1.0
c141,c22,1,1.0
c141,c27,1,1.0
c141,c32,1,1.0
c141,c37,1,1.0
c141,c47,1,1.0
c141,c3,9,1.0
c141,c43,1,1.0
c141,c69,9,1.0
c141,c8,1,1.0
c141,c13,1,1.0
c141,c18,1,1.0
c141,c23,1,1.0
c141,c28,1,1.0
c141,c33,1,1.0
c141,c38,1,1.0
c141,c48,1,1.0
c141,c4,9,1.0
c141,c44,1,1.0
c141,c78,9,1.0
c141,c9,1,1.0
c141,c14,1,1.0
c141,c19,1,1.0
c141,c24,1,1.0
c141,c29,1,1.0
c141,c34,1,1.0
c141,c39,1,1.0
c141,c49,1,1.0
c141,c5,9,1.0
c141,c45,1,1.0
c141,c87,9,1.0
c141,c10,1,1.0
c141,c15,1,1.0
c141,c20,1,1.0
c141,c25,1,1.0
c141,c30,1,1.0
c141,c35,1,1.0
c141,c40,1,1.0
c141,c50,1,1.0
c213,minobj,45,1.0
c213,c1,1,1.0
c213,c41,9,1.0
c213,c51,9,1.0
c213,c96,5,1.0
c213,c141,5,1.0
c213,c6,1,1.0
c213,c97,5,1.0
c213,c150,5,1.0
c213,c11,1,1.0
c213,c98,5,1.0
c213,c159,5,1.0
c213,c16,1,1.0
c213,c99,5,1.0
c213,c168,5,1.0
c213,c21,1,1.0
c213,c100,5,1.0
c213,c177,5,1.0
c213,c26,1,1.0
c213,c101,5,1.0
c213,c186,5,1.0
c213,c31,1,1.0
c213,c102,5,1.0
c213,c195,5,1.0
c213,c36,1,1.0
c213,c103,5,1.0
c213,c204,5,1.0
c213,c46,1,1.0
c213,c104,5,1.0
c213,c222,5,1.0
c213,c2,1,1.0
c213,c42,9,1.0
c213,c60,9,1.0
c213,c7,1,1.0
c213,c12,1,1.0
c213,c17,1,1.0
c213,c22,1,1.0
c213,c27,1,1.0
c213,c32,1,1.0
c213,c37,1,1.0
c213,c47,1,1.0
c213,c3,1,1.0
c213,c43,9,1.0
c213,c69,9,1.0
c213,c8,1,1.0
c213,c13,1,1.0
c213,c18,1,1.0
c213,c23,1,1.0
c213,c28,1,1.0
c213,c33,1,1.0
c213,c38,1,1.0
c213,c48,1,1.0
c213,c4,1,1.0
c213,c44,9,1.0
c213,c78,9,1.0
c213,c9,1,1.0
c213,c14,1,1.0
c213,c19,1,1.0
c213,c24,1,1.0
c213,c29,1,1.0
c213,c34,1,1.0
c213,c39,1,1.0
c213,c49,1,1.0
c213,c5,1,1.0
c213,c45,9,1.0
c213,c87,9,1.0
c213,c10,1,1.0
c213,c15,1,1.0
c213,c20,1,1.0
c213,c25,1,1.0
c213,c30,1,1.0
c213,c35,1,1.0
c213,c40,1,1.0
c213,c50,1,1.0
c6,minobj,81,1.0
c6,c41,9,1.0
c6,c51,9,1.0
c6,c97,9,1.0
c6,c150,9,1.0
c6,c213,1,1.0
c6,c1,9,1.0
c6,c105,9,1.0
c6,c141,1,1.0
c6,c11,9,1.0
c6,c113,9,1.0
c6,c159,1,1.0
c6,c16,9,1.0
c6,c114,9,1.0
c6,c168,1,1.0
c6,c21,9,1.0
c6,c115,9,1.0
c6,c177,1,1.0
c6,c26,9,1.0
c6,c116,9,1.0
c6,c186,1,1.0
c6,c31,9,1.0
c6,c117,9,1.0
c6,c195,1,1.0
c6,c36,9,1.0
c6,c118,9,1.0
c6,c204,1,1.0
c6,c46,9,1.0
c6,c119,9,1.0
c6,c222,1,1.0
c6,c52,9,1.0
c6,c151,9,1.0
c6,c214,1,1.0
c6,c142,1,1.0
c6,c160,1,1.0
c6,c169,1,1.0
c6,c178,1,1.0
c6,c187,1,1.0
c6,c196,1,1.0
c6,c205,1,1.0
c6,c223,1,1.0
c6,c53,9,1.0
c6,c152,9,1.0
c6,c215,1,1.0
c6,c143,1,1.0
c6,c161,1,1.0
c6,c170,1,1.0
c6,c179,1,1.0
c6,c188,1,1.0
c6,c197,1,1.0
c6,c206,1,1.0
c6,c224,1,1.0
c6,c54,9,1.0
c6,c153,9,1.0
c6,c216,1,1.0
c6,c144,1,1.0
c6,c162,1,1.0
c6,c171,1,1.0
c6,c180,1,1.0
c6,c189,1,1.0
c6,c198,1,1.0
c6,c207,1,1.0
c6,c225,1,1.0
c6,c55,9,1.0
c6,c154,9,1.0
c6,c217,1,1.0
c6,c145,1,1.0
c6,c163,1,1.0
c6,c172,1,1.0
c6,c181,1,1.0
c6,c190,1,1.0
c6,c199,1,1.0
c6,c208,1,1.0
c6,c226,1,1.0
c6,c56,9,1.0
c6,c155,9,1.0
c6,c218,1,1.0
c6,c146,1,1.0
c6,c164,1,1.0
c6,c173,1,1.0
c6,c182,1,1.0
c6,c191,1,1.0
c6,c200,1,1.0
c6,c209,1,1.0
c6,c227,1,1.0
c6,c57,9,1.0
c6,c156,9,1.0
c6,c219,1,1.0
c6,c147,1,1.0
c6,c165,1,1.0
c6,c174,1,1.0
c6,c183,1,1.0
c6,c192,1,1.0
c6,c201,1,1.0
c6,c210,1,1.0
c6,c228,1,1.0
c6,c58,9,1.0
c6,c157,9,1.0
c6,c220,1,1.0
c6,c148,1,1.0
c6,c166,1,1.0
c6,c175,1,1.0
c6,c184,1,1.0
c6,c193,1,1.0
c6,c202,1,1.0
c6,c211,1,1.0
c6,c229,1,1.0
c6,c59,9,1.0
c6,c158,9,1.0
c6,c221,1,1.0
c6,c149,1,1.0
c6,c167,1,1.0
c6,c176,1,1.0
c6,c185,1,1.0
c6,c194,1,1.0
c6,c203,1,1.0
c6,c212,1,1.0
c6,c230,1,1.0
c97,minobj,45,1.0
c97,c6,9,1.0
c97,c41,9,1.0
c97,c51,1,1.0
c97,c150,5,1.0
c97,c213,5,1.0
c97,c7,9,1.0
c97,c42,9,1.0
c97,c60,1,1.0
c97,c8,9,1.0
c97,c43,9,1.0
c97,c69,1,1.0
c97,c9,9,1.0
c97,c44,9,1.0
c97,c78,1,1.0
c97,c10,9,1.0
c97,c45,9,1.0
c97,c87,1,1.0
c97,c52,1,1.0
c97,c151,5,1.0
c97,c214,5,1.0
c97,c61,1,1.0
c97,c70,1,1.0
c97,c79,1,1.0
c97,c88,1,1.0
c97,c53,1,1.0
c97,c152,5,1.0
c97,c215,5,1.0
c97,c62,1,1.0
c97,c71,1,1.0
c97,c80,1,1.0
c97,c89,1,1.0
c97,c54,1,1.0
c97,c153,5,1.0
c97,c216,5,1.0
c97,c63,1,1.0
c97,c72,1,1.0
c97,c81,1,1.0
c97,c90,1,1.0
c97,c55,1,1.0
c97,c154,5,1.0
c97,c217,5,1.0
c97,c64,1,1.0
c97,c73,1,1.0
c97,c82,1,1.0
c97,c91,1,1.0
c97,c56,1,1.0
c97,c155,5,1.0
c97,c218,5,1.0
c97,c65,1,1.0
c97,c74,1,1.0
c97,c83,1,1.0
c97,c92,1,1.0
c97,c57,1,1.0
c97,c156,5,1.0
c97,c219,5,1.0
c97,c66,1,1.0
c97,c75,1,1.0
c97,c84,1,1.0
c97,c93,1,1.0
c97,c58,1,1.0
c97,c157,5,1.0
c97,c220,5,1.0
c97,c67,1,1.0
c97,c76,1,1.0
c97,c85,1,1.0
c97,c94,1,1.0
c97,c59,1,1.0
c97,c158,5,1.0
c97,c221,5,1.0
c97,c68,1,1.0
c97,c77,1,1.0
c97,c86,1,1.0
c97,c95,1,1.0
c150,minobj,45,1.0
c150,c6,9,1.0
c150,c41,1,1.0
c150,c51,9,1.0
c150,c97,5,1.0
c150,c213,5,1.0
c150,c1,1,1.0
c150,c105,5,1.0
c150,c141,5,1.0
c150,c11,1,1.0
c150,c113,5,1.0
c150,c159,5,1.0
c150,c16,1,1.0
c150,c114,5,1.0
c150,c168,5,1.0
c150,c21,1,1.0
c150,c115,5,1.0
c150,c177,5,1.0
c150,c26,1,1.0
c150,c116,5,1.0
c150,c186,5,1.0
c150,c31,1,1.0
c150,c117,5,1.0
c150,c195,5,1.0
c150,c36,1,1.0
c150,c118,5,1.0
c150,c204,5,1.0
c150,c46,1,1.0
c150,c119,5,1.0
c150,c222,5,1.0
c150,c7,9,1.0
c150,c42,1,1.0
c150,c60,9,1.0
c150,c2,1,1.0
c150,c12,1,1.0
c150,c17,1,1.0
c150,c22,1,1.0
c150,c27,1,1.0
c150,c32,1,1.0
c150,c37,1,1.0
c150,c47,1,1.0
c150,c8,9,1.0
c150,c43,1,1.0
c150,c69,9,1.0
c150,c3,1,1.0
c150,c13,1,1.0
c150,c18,1,1.0
c150,c23,1,1.0
c150,c28,1,1.0
c150,c33,1,1.0
c150,c38,1,1.0
c150,c48,1,1.0
c150,c9,9,1.0
c150,c44,1,1.0
c150,c78,9,1.0
c150,c4,1,1.0
c150,c14,1,1.0
c150,c19,1,1.0
c150,c24,1,1.0
c150,c29,1,1.0
c150,c34,1,1.0
c150,c39,1,1.0
c150,c49,1,1.0
c150,c10,9,1.0
c150,c45,1,1.0
c150,c87,9,1.0
c150,c5,1,1.0
c150,c15,1,1.0
c150,c20,1,1.0
c150,c25,1,1.0
c150,c30,1,1.0
c150,c35,1,1.0
c150,c40,1,1.0
c150,c50,1,1.0
c105,minobj,45,1.0
c105,c1,9,1.0
c105,c6,9,1.0
c105,c51,1,1.0
c105,c141,5,1.0
c105,c150,5,1.0
c105,c2,9,1.0
c105,c7,9,1.0
c105,c60,1,1.0
c105,c3,9,1.0
c105,c8,9,1.0
c105,c69,1,1.0
c105,c4,9,1.0
c105,c9,9,1.0
c105,c78,1,1.0
c105,c5,9,1.0
c105,c10,9,1.0
c105,c87,1,1.0
c105,c52,1,1.0
c105,c142,5,1.0
c105,c151,5,1.0
c105,c61,1,1.0
c105,c70,1,1.0
c105,c79,1,1.0
c105,c88,1,1.0
c105,c53,1,1.0
c105,c143,5,1.0
c105,c152,5,1.0
c105,c62,1,1.0
c105,c71,1,1.0
c105,c80,1,1.0
c105,c89,1,1.0
c105,c54,1,1.0
c105,c144,5,1.0
c105,c153,5,1.0
c105,c63,1,1.0
c105,c72,1,1.0
c105,c81,1,1.0
c105,c90,1,1.0
c105,c55,1,1.0
c105,c145,5,1.0
c105,c154,5,1.0
c105,c64,1,1.0
c105,c73,1,1.0
c105,c82,1,1.0
c105,c91,1,1.0
c105,c56,1,1.0
c105,c146,5,1.0
c105,c155,5,1.0
c105,c65,1,1.0
c105,c74,1,1.0
c105,c83,1,1.0
c105,c92,1,1.0
c105,c57,1,1.0
c105,c147,5,1.0
c105,c156,5,1.0
c105,c66,1,1.0
c105,c75,1,1.0
c105,c84,1,1.0
c105,c93,1,1.0
c105,c58,1,1.0
c105,c148,5,1.0
c105,c157,5,1.0
c105,c67,1,1.0
c105,c76,1,1.0
c105,c85,1,1.0
c105,c94,1,1.0
c105,c59,1,1.0
c105,c149,5,1.0
c105,c158,5,1.0
c105,c68,1,1.0
c105,c77,1,1.0
c105,c86,1,1.0
c105,c95,1,1.0
c11,minobj,81,1.0
c11,c41,9,1.0
c11,c51,9,1.0
c11,c98,9,1.0
c11,c159,9,1.0
c11,c213,1,1.0
c11,c1,9,1.0
c11,c106,9,1.0
c11,c141,1,1.0
c11,c6,9,1.0
c11,c113,9,1.0
c11,c150,1,1.0
c11,c16,9,1.0
c11,c120,9,1.0
c11,c168,1,1.0
c11,c21,9,1.0
c11,c121,9,1.0
c11,c177,1,1.0
c11,c26,9,1.0
c11,c122,9,1.0
c11,c186,1,1.0
c11,c31,9,1.0
c11,c123,9,1.0
c11,c195,1,1.0
c11,c36,9,1.0
c11,c124,9,1.0
c11,c204,1,1.0
c11,c46,9,1.0
c11,c125,9,1.0
c11,c222,1,1.0
c11,c52,9,1.0
c11,c160,9,1.0
c11,c214,1,1.0
c11,c142,1,1.0
c11,c151,1,1.0
c11,c169,1,1.0
c11,c178,1,1.0
c11,c187,1,1.0
c11,c196,1,1.0
c11,c205,1,1.0
c11,c223,1,1.0
c11,c53,9,1.0
c11,c161,9,1.0
c11,c215,1,1.0
c11,c143,1,1.0
c11,c152,1,1.0
c11,c170,1,1.0
c11,c179,1,1.0
c11,c188,1,1.0
